ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00096:HG00096	-0.0134	0.0336	0.0219	-0.0646	0.0303	0.0014	-0.0975	0.0197	0.0288	-0.0251	-0.0584	-0.044	-0.0722	-0.017	-0.0726	-0.0629	-0.0296	-0.0131	-0.0182	-0.0769
HG00097:HG00097	0.0268	-0.0404	-0.0501	0.0153	0.0985	0.0308	-0.0939	0.0079	-0.0264	0.0804	0.0325	0.0299	-0.0347	-0.0042	-0.0218	0.0182	0.046	-0.0464	0.0765	-0.0409
HG00099:HG00099	-0.0264	-0.0175	0.0376	0.0687	0.0088	-0.0184	-0.0098	-0.0672	-0.0532	-0.018	-0.037	0.0762	0.0348	-0.0198	-0.0298	0.0389	0.0098	0.0542	-0.0536	-0.0352
HG00100:HG00100	0.0275	0.0487	0.0479	0.03	0.0215	-4e-04	8e-04	0.0087	0.0207	0.059	0.02	-0.0513	-0.0614	-0.0441	0.0175	0.1112	0.0661	-0.0751	0.0343	0.038
HG00101:HG00101	0.0178	-0.0143	-0.0171	0.0496	0.0683	0.0212	0.0759	-0.1184	0.0711	0.0386	-0.0293	0.0161	-0.0051	-0.0068	-0.0345	0.0551	-0.0472	-0.0181	0.0086	-0.0671
HG00102:HG00102	-0.0123	0.0956	-0.0494	-0.0113	0.011	-0.0095	0.1041	-0.0439	0.0091	-0.0156	0.021	0.0156	0.0405	-0.0333	-0.0808	0.009	-0.0072	0.0383	0.052	-0.1189
HG00103:HG00103	-0.0074	0.1057	0.0689	-0.0097	0.0227	-0.0418	0.111	-0.0669	0.0079	-0.1243	0.0057	0.0222	-0.0028	0.0758	0.0126	0.0179	-0.0291	-0.0075	0.0127	0.1404
HG00105:HG00105	0.0029	0.0473	-0.07	0.1131	-0.0521	-0.026	0.0945	0.0199	-0.0383	-0.0522	-0.0338	0.0235	0.0428	-0.004	0.0125	-0.0245	-0.0306	-0.0936	-0.0506	-0.0589
HG00106:HG00106	-0.0295	0.0505	0.0696	-0.0885	0.0873	0.0151	0.0181	-0.0288	0.0448	-0.1131	-0.0411	-0.0695	-0.0554	0.0633	-0.062	0.0085	-0.0705	7e-04	0.0341	0.0396
HG00107:HG00107	0.0342	-0.0023	-0.0537	0.0192	0.0538	-0.0397	-0.0755	0.0092	0.0349	-0.112	-0.0238	0.0041	0.0052	0.0293	-0.0038	-0.0184	0.0084	0.0086	-0.0995	0.0115
